x,y
2088.89858943985,1591.935698463727
2087.53970868161,1603.68787828315
2086.18082792337,1615.440058102574
2084.821947165131,1627.192237921997
2083.463066406891,1638.944417741421
2082.104185648651,1650.696597560845
2080.745304890412,1662.448777380269
2079.386424132172,1674.200957199692
2078.027543373933,1685.953137019116
2076.668662615694,1697.70531683854
2075.309781857454,1709.457496657963
2073.950901099214,1721.209676477387
2072.592020340975,1732.96185629681
2071.233139582735,1744.714036116234
2069.874258824496,1756.466215935658
2068.515378066256,1768.218395755082
2067.156497308016,1779.970575574505
2065.797616549777,1791.722755393929
2064.438735791537,1803.474935213353
2063.079855033298,1815.227115032777
2061.720974275059,1826.9792948522
2060.362093516819,1838.731474671624
2059.003212758579,1850.483654491048
2057.644332000339,1862.235834310471
2056.2854512421,1873.988014129895
2055.469876510059,1885.779933848837
2055.104226474715,1897.604763127725
2054.73857643937,1909.429592406612
2054.372926404025,1921.254421685499
2054.362373943568,1933.074184269658
2055.065250591663,1944.883767320754
2055.768127239759,1956.693350371851
2056.471003887855,1968.502933422947
2057.17388053595,1980.312516474044
2057.876757184045,1992.12209952514
2058.579633832141,2003.931682576237
2059.282510480237,2015.741265627333
2059.985387128332,2027.55084867843
2060.688263776428,2039.360431729527
2061.507372669855,2051.162369413226
2062.357448709937,2062.962270181845
2063.20752475002,2074.762170950465
2064.057600790102,2086.562071719084
2064.907676830184,2098.361972487703
2065.757752870267,2110.161873256322
2066.607828910349,2121.961774024942
2067.457904950431,2133.761674793561
2068.307980990514,2145.56157556218
2069.158057030596,2157.3614763308
2070.008133070678,2169.161377099418
2070.858209110761,2180.961277868037
2071.708285150843,2192.761178636657
2072.558361190925,2204.561079405277
2073.408437231007,2216.360980173896
2074.25851327109,2228.160880942514
2075.108589311172,2239.960781711134
2075.958665351254,2251.760682479753
2076.808741391337,2263.560583248373
2077.618536130891,2275.361679291821
2077.061394060303,2287.176858647978
2075.721519100452,2298.929033153019
2073.604816673995,2310.566405766406
2070.720616026457,2322.037685430407
2067.081629108104,2333.292313132515
2062.703894546756,2344.280684741418
2057.606706958438,2354.954369634391
2051.812531907462,2365.266324152504
2045.346906890727,2375.171098942874
2038.238328782661,2384.625039274107
2030.51812823686,2393.586477442034
2022.162587244884,2401.955014144768
2013.475922394697,2409.986336651288
2004.789257544511,2418.017659157806
1996.102592694324,2426.048981664325
1987.415927844137,2434.080304170843
1978.729262993951,2442.111626677362
1970.042598143764,2450.142949183881
1961.244944532081,2458.047240836338
1953.404434840274,2466.892151422289
1946.950932241088,2476.794592520477
1942.024964549997,2487.538934185144
1938.733796847955,2498.891213720894
1937.149095737776,2510.604230321761
1937.305368772802,2522.422927975872
1939.199213039983,2534.08994942063
1942.789389259774,2545.351240208618
1948.055357931924,2555.922325979283
1955.390117390257,2565.204652794881
1962.724876848591,2574.486979610479
1970.059636306924,2583.769306426077
1977.394395765258,2593.051633241675
1984.729155223591,2602.333960057274
1992.063914681924,2611.616286872872
1999.398674140258,2620.89861368847
2006.733433598592,2630.180940504068
2014.068193056925,2639.463267319666
2021.402952515258,2648.745594135264
2028.737711973592,2658.027920950862
2036.072471431925,2667.31024776646
2043.407230890258,2676.592574582058
2052.66633296383,2682.906406841485
2064.420225195215,2684.04733120976
2076.156182217888,2682.7346988305
2087.448272144033,2679.21133454434
2098.563703412531,2675.213763934365
2109.356610831151,2670.368824628627
2119.658816246722,2664.569394409006
2129.879456725747,2658.611307835138
2140.088900695816,2652.634488736349
2150.176693665423,2646.454139197244
2160.26448663503,2640.273789658137
2170.544640957488,2634.457772995468
2181.337782855345,2629.613356065032
2192.107945855254,2624.723556588771
2202.784554301115,2619.649048131977
2214.055176587717,2616.083423746675
2225.707726589027,2614.093779946574
2237.522931213876,2613.717557064161
2249.278456600527,2614.961834713289
2260.753091907614,2617.80319856779
2271.730911972529,2622.18818096304
2282.005340505993,2628.034267029379
2291.383037363206,2635.231447424404
2299.687536742461,2643.644288445383
2306.359396415214,2653.383479394246
2312.553491820381,2663.462837981719
2318.747587225549,2673.542196569192
2324.941682630716,2683.621555156666
2331.135778035884,2693.700913744138
2337.329873441051,2703.780272331612
2343.523968846219,2713.859630919085
2350.125385793186,2723.669768746002
2356.992887871123,2733.302805748183
2364.291061274446,2742.52799484999
2374.965045485053,2738.89137716568
2385.187801268114,2732.936920714998
2394.836542446717,2726.171095491024
2403.663167044172,2718.304927281911
2411.747808983169,2709.679660152187
2419.499203658798,2700.742313341986
2427.63356770919,2692.162209255679
2435.867155431588,2683.669414947339
2443.816419237973,2674.921725817855
2449.496361747932,2664.640276280824
2451.632781282036,2653.042131617138
2450.540922831287,2641.299512948842
2446.302766514725,2630.294092506993
2439.236526253855,2620.852191393278
2429.872757284438,2613.682736828748
2418.91452042379,2609.324033699212
2407.194710781049,2607.990724124062
2395.813437991904,2604.791416295118
2384.934223175074,2600.164146489436
2374.735401933063,2594.184766407954
2365.384156637177,2586.95129197989
2357.033775920102,2578.582296653975
2349.821141919141,2569.21496770419
2343.864486460014,2559.002857411672
2339.26145296259,2548.113365986133
2336.087495838416,2536.724997487564
2334.394643617637,2525.024433730039
2334.21064608053,2513.203474133135
2335.538519374141,2501.455891683907
2338.356496570631,2489.974256547509
2342.856245991777,2479.068542855265
2348.810090658385,2468.845430750377
2354.763935324992,2458.62231864549
2360.717779991599,2448.399206540602
2366.671624658206,2438.176094435715
2372.625469324813,2427.952982330827
2378.57931399142,2417.729870225941
2384.533158658027,2407.506758121053
2390.487003324635,2397.283646016164
2396.440847991241,2387.060533911277
2402.394692657849,2376.837421806389
2408.348537324455,2366.614309701502
2414.302381991063,2356.391197596614
2420.25622665767,2346.168085491727
2426.210071324277,2335.94497338684
2432.163915990884,2325.721861281953
2438.117760657491,2315.498749177065
2444.071605324098,2305.275637072178
2450.110458056536,2295.10351694724
2456.891234806468,2285.413889799558
2464.506930534404,2276.365741581665
2472.89718363489,2268.030787442423
2481.995493401304,2260.475089791785
2491.729747106974,2253.758534693588
2502.022791566877,2247.93435721175
2512.793044649737,2243.048719471942
2523.955141893727,2239.140344782998
2535.708227625858,2238.64437518279
2547.538599771805,2238.695191632539
2559.368971917753,2238.746008082288
2571.1993440637,2238.796824532036
2583.029716209649,2238.847640981784
2594.860088355597,2238.898457431532
2606.690460501544,2238.949273881281
2618.520832647491,2239.000090331029
2630.351204793439,2239.050906780777
2642.181576939388,2239.101723230526
2654.011949085335,2239.152539680274
2665.842321231283,2239.203356130023
2677.672693377231,2239.254172579771
2689.503065523179,2239.304989029519
2701.333437669126,2239.355805479267
2713.157030723721,2239.59378522262
2724.595047061476,2242.450034058855
2734.742485662903,2248.451355995523
2742.755560826338,2257.098725629256
2747.967964676973,2267.673091863462
2753.971874386841,2274.966421097464
2765.802250685762,2275.01626133355
2777.632626984682,2275.066101569635
2789.463003283601,2275.11594180572
2801.293379582522,2275.165782041806
2813.123755881441,2275.215622277892
2824.954132180362,2275.265462513977
2836.784508479281,2275.315302750063
2848.614884778201,2275.365142986149
2860.445261077122,2275.414983222234
2872.275637376041,2275.464823458319
2884.106013674962,2275.514663694405
2895.936389973882,2275.56450393049
2907.766766272802,2275.614344166575
2919.597142571722,2275.664184402661
2931.427514691234,2275.714688618437
2942.999575568427,2277.870110223037
2953.146593148725,2283.836387912195
2960.656318163923,2292.900739264341
2964.631574810188,2303.980259553387
2964.597445021965,2315.751294783841
2962.948678117099,2327.074339292577
2965.911840900596,2338.527721052638
2968.875003684093,2349.981102812698
2971.83816646759,2361.434484572758
2974.801329251087,2372.887866332818
2977.764492034585,2384.341248092878
2980.727654818082,2395.794629852938
2983.690817601578,2407.248011612999
2989.482788985977,2415.051976212692
3001.31326227442,2415.065731017179
3013.143735562862,2415.079485821666
3024.974208851304,2415.093240626153
3036.804682139747,2415.106995430639
3048.635155428189,2415.120750235126
3060.465628716629,2415.134505039613
3072.296102005071,2415.1482598441
3084.126575293514,2415.162014648587
3095.957048581956,2415.175769453074
3107.787521870398,2415.189524257562
3119.617995158838,2415.203279062048
3131.44846844728,2415.217033866535
3143.278941735723,2415.230788671022
3155.109415024165,2415.244543475508
3166.939888312607,2415.258298279995
3178.77036160105,2415.272053084482
3190.600834889492,2415.285807888969
3202.431308177931,2415.299562693455
3214.261781466374,2415.313317497942
3226.092254754816,2415.327072302429
3237.922728043258,2415.340827106916
3249.753201331702,2415.354581911403
3261.583674620143,2415.36833671589
